Sample	Human counts	Human percentage	total_reads	Mouse counts	Mouse percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	No hits counts	No hits percentage
SRR1795219_1_screen	7296	7.29	100109	96310	96.2	1	0.0	11	0.01	3744	3.74
SRR1795219_2_screen	7065	7.06	100109	94589	94.48	1	0.0	11	0.01	5445	5.44
SRR1795220_1_screen	7245	7.24	100056	95986	95.92999999999999	1	0.0	18	0.02	4012	4.01
SRR1795220_2_screen	6744	6.74	100056	94229	94.17	0	0.0	16	0.02	5763	5.76
SRR1795221_1_screen	7994	7.9799999999999995	100091	96842	96.76	0	0.0	108	0.11	3032	3.03
SRR1795221_2_screen	8068	8.06	100091	95600	95.50999999999999	0	0.0	101	0.1	4303	4.3
SRR1795222_1_screen	7689	7.67	100102	96943	96.85	0	0.0	144	0.14	2932	2.93
SRR1795222_2_screen	7812	7.8	100102	95290	95.19	0	0.0	134	0.13	4584	4.58
SRR1795223_1_screen	7311	7.289999999999999	100116	96480	96.36999999999999	2	0.0	133	0.13	3433	3.43
SRR1795223_2_screen	7599	7.6	100116	94865	94.77	1	0.0	128	0.13	5055	5.05
SRR1795224_1_screen	7860	7.87	99881	96297	96.39999999999999	0	0.0	132	0.13	3365	3.37
SRR1795224_2_screen	8169	8.18	99881	94154	94.27	0	0.0	127	0.13	5503	5.51
SRR1795225_1_screen	8761	8.760000000000002	100062	96657	96.60000000000001	0	0.0	127	0.13	3131	3.13
SRR1795225_2_screen	8799	8.79	100062	95455	95.38999999999999	0	0.0	123	0.12	4312	4.31
SRR1795226_1_screen	8028	8.04	99989	96649	96.66	1	0.0	148	0.15	3109	3.11
SRR1795226_2_screen	8095	8.100000000000001	99989	95168	95.18	1	0.0	139	0.14	4549	4.55
SRR1795227_1_screen	7425	7.430000000000001	99905	96543	96.64	1	0.0	130	0.13	3156	3.16
SRR1795227_2_screen	7874	7.88	99905	94883	94.98	1	0.0	126	0.13	4815	4.82
SRR1795228_1_screen	9250	9.24	100090	96726	96.64	1	0.0	98	0.1	3072	3.07
SRR1795228_2_screen	8982	8.969999999999999	100090	92882	92.78999999999999	0	0.0	91	0.09	6896	6.89
