Sample	Human counts	Human percentage	total_reads	Mouse counts	Mouse percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	No hits counts	No hits percentage
SRR1795106_1_screen	7359	7.37	99924	97188	97.26	0	0.0	24	0.02	2677	2.68
SRR1795106_2_screen	7305	7.3100000000000005	99924	96979	97.04999999999998	0	0.0	24	0.02	2877	2.88
SRR1795107_1_screen	7309	7.3100000000000005	99949	97200	97.25	0	0.0	10	0.01	2698	2.7
SRR1795107_2_screen	7394	7.390000000000001	99949	96959	97.01000000000002	0	0.0	10	0.01	2938	2.94
SRR1795108_1_screen	7419	7.42	100017	97218	97.19999999999999	0	0.0	23	0.02	2730	2.73
SRR1795108_2_screen	7318	7.32	100017	97032	97.02	0	0.0	22	0.02	2920	2.92
SRR1795109_1_screen	7802	7.8	100048	96686	96.64000000000001	1	0.0	172	0.17	3111	3.11
SRR1795109_2_screen	7850	7.85	100048	95413	95.37	0	0.0	165	0.16	4382	4.38
SRR1795110_1_screen	7780	7.779999999999999	100051	96694	96.65	1	0.0	143	0.14	3131	3.13
SRR1795110_2_screen	7920	7.91	100051	95142	95.1	1	0.0	138	0.14	4672	4.67
SRR1795111_1_screen	7601	7.609999999999999	99971	96637	96.66999999999999	0	0.0	137	0.14	3099	3.1
SRR1795111_2_screen	7680	7.680000000000001	99971	95030	95.05000000000001	0	0.0	131	0.13	4698	4.7
SRR1795112_1_screen	7898	7.909999999999999	99878	96176	96.28999999999999	4	0.0	142	0.14	3455	3.46
SRR1795112_2_screen	8116	8.12	99878	94433	94.54	4	0.0	136	0.14	5163	5.17
SRR1795113_1_screen	8399	8.39	100041	96780	96.75	0	0.0	134	0.13	2981	2.98
SRR1795113_2_screen	8424	8.42	100041	94474	94.43	0	0.0	124	0.12	5272	5.27
SRR1795114_1_screen	8989	8.98	100055	96903	96.85	0	0.0	124	0.12	2891	2.89
SRR1795114_2_screen	9123	9.11	100055	95232	95.17	1	0.0	117	0.12	4542	4.54
SRR1795115_1_screen	7700	7.7	100016	96818	96.81	1	0.0	92	0.09	3010	3.01
SRR1795115_2_screen	7800	7.8100000000000005	100016	95147	95.12	0	0.0	89	0.09	4660	4.66
SRR1795116_1_screen	7710	7.710000000000001	100055	96803	96.74000000000001	0	0.0	105	0.1	3071	3.07
SRR1795116_2_screen	7978	7.970000000000001	100055	95440	95.39000000000001	0	0.0	98	0.1	4442	4.44
SRR1795117_1_screen	7075	7.08	99927	96599	96.67	0	0.0	115	0.12	3157	3.16
SRR1795117_2_screen	7229	7.2299999999999995	99927	95998	96.05999999999999	1	0.0	111	0.11	3757	3.76
SRR1795118_1_screen	6851	6.869999999999999	99934	96450	96.51	0	0.0	47	0.05	3387	3.39
SRR1795118_2_screen	7298	7.300000000000001	99934	95543	95.6	1	0.0	38	0.04	4287	4.29
SRR1795119_1_screen	6845	6.85	99922	96518	96.58999999999999	0	0.0	68	0.07	3277	3.28
SRR1795119_2_screen	7350	7.37	99922	95849	95.92	0	0.0	64	0.06	3946	3.95
SRR1795120_1_screen	7076	7.07	100111	96606	96.49999999999999	0	0.0	46	0.05	3413	3.41
SRR1795120_2_screen	7312	7.3100000000000005	100111	95323	95.22000000000001	0	0.0	40	0.04	4675	4.67
SRR1795121_1_screen	6779	6.789999999999999	99877	96297	96.41999999999999	1	0.0	55	0.06	3485	3.49
SRR1795121_2_screen	7101	7.12	99877	95084	95.20000000000002	1	0.0	51	0.05	4684	4.69
SRR1795122_1_screen	6949	6.9399999999999995	100004	96622	96.61999999999999	1	0.0	76	0.08	3270	3.27
SRR1795122_2_screen	7243	7.24	100004	95521	95.52000000000001	1	0.0	74	0.07	4350	4.35
SRR1795123_1_screen	6988	6.98	100076	96374	96.3	0	0.0	69	0.07	3592	3.59
SRR1795123_2_screen	7257	7.249999999999999	100076	95203	95.11999999999999	0	0.0	62	0.06	4743	4.74
SRR1795124_1_screen	7365	7.380000000000001	99938	91652	91.72	48	0.05	94	0.09	8035	8.04
SRR1795124_2_screen	7070	7.08	99938	91240	91.30000000000001	54	0.05	86	0.09	8414	8.42
SRR1795125_1_screen	6948	6.9399999999999995	100099	95774	95.67	0	0.0	26	0.03	4254	4.25
SRR1795125_2_screen	6789	6.78	100099	94165	94.08	0	0.0	24	0.02	5875	5.87
SRR1795126_1_screen	6951	6.959999999999999	99922	95653	95.71	0	0.0	19	0.02	4206	4.21
SRR1795126_2_screen	6691	6.7	99922	93035	93.11	0	0.0	18	0.02	6804	6.81
SRR1795127_1_screen	7121	7.120000000000001	99920	95457	95.52999999999999	2	0.0	18	0.02	4406	4.41
SRR1795127_2_screen	6846	6.859999999999999	99920	93616	93.7	1	0.0	18	0.02	6225	6.23
SRR1795128_1_screen	7202	7.21	99992	95574	95.58	0	0.0	23	0.02	4359	4.36
SRR1795128_2_screen	6904	6.91	99992	93772	93.79	0	0.0	22	0.02	6149	6.15
SRR1795129_1_screen	7245	7.24	100044	97233	97.19	0	0.0	17	0.02	2761	2.76
SRR1795129_2_screen	7100	7.1	100044	95868	95.82000000000001	0	0.0	16	0.02	4111	4.11
SRR1795130_1_screen	7362	7.359999999999999	99961	97238	97.28	0	0.0	25	0.03	2658	2.66
SRR1795130_2_screen	7276	7.28	99961	95366	95.41000000000001	0	0.0	23	0.02	4528	4.53
SRR1795131_1_screen	7141	7.140000000000001	99974	96621	96.63999999999999	1	0.0	20	0.02	3289	3.29
SRR1795131_2_screen	6789	6.8	99974	94549	94.57	1	0.0	17	0.02	5348	5.35
SRR1795132_1_screen	7218	7.22	100084	97195	97.11000000000001	0	0.0	20	0.02	2832	2.83
SRR1795132_2_screen	7191	7.18	100084	95924	95.85000000000001	0	0.0	13	0.01	4093	4.09
SRR1795133_1_screen	8766	8.75	100042	96664	96.62	0	0.0	120	0.12	3091	3.09
SRR1795133_2_screen	9006	8.99	100042	94698	94.66999999999999	0	0.0	112	0.11	5022	5.02
SRR1795134_1_screen	10097	10.08	100060	96561	96.5	1	0.0	134	0.13	3131	3.13
SRR1795134_2_screen	10097	10.1	100060	95257	95.2	1	0.0	128	0.13	4412	4.41
SRR1795135_1_screen	8312	8.31	100110	96739	96.64	1	0.0	152	0.15	3073	3.07
SRR1795135_2_screen	8495	8.48	100110	94973	94.86	0	0.0	147	0.15	4845	4.84
SRR1795136_1_screen	7416	7.41	100099	96628	96.53999999999999	0	0.0	175	0.17	3243	3.24
SRR1795136_2_screen	7570	7.5600000000000005	100099	94773	94.67	1	0.0	164	0.16	5095	5.09
SRR1795137_1_screen	7461	7.46	100037	96375	96.33000000000001	0	0.0	144	0.14	3471	3.47
SRR1795137_2_screen	7475	7.48	100037	94649	94.61	1	0.0	140	0.14	5171	5.17
SRR1795138_1_screen	7900	7.91	99895	96356	96.45	0	0.0	104	0.1	3336	3.34
SRR1795138_2_screen	8105	8.120000000000001	99895	94708	94.81	1	0.0	98	0.1	4974	4.98
SRR1795139_1_screen	8616	8.620000000000001	100006	96670	96.66000000000001	0	0.0	147	0.15	3060	3.06
SRR1795139_2_screen	8592	8.59	100006	95201	95.19	1	0.0	142	0.14	4490	4.49
SRR1795140_1_screen	7594	7.59	100063	96513	96.46	2	0.0	129	0.13	3362	3.36
SRR1795140_2_screen	7797	7.789999999999999	100063	94680	94.61999999999999	3	0.0	119	0.12	5183	5.18
SRR1795141_1_screen	6937	6.94	100048	96783	96.74	0	0.0	90	0.09	3131	3.13
SRR1795141_2_screen	7121	7.12	100048	96193	96.14999999999999	0	0.0	86	0.09	3731	3.73
SRR1795142_1_screen	7167	7.16	100098	96661	96.56	0	0.0	71	0.07	3313	3.31
SRR1795142_2_screen	7488	7.48	100098	95582	95.49000000000001	0	0.0	67	0.07	4374	4.37
SRR1795143_1_screen	7132	7.119999999999999	100084	96740	96.67	1	0.0	121	0.12	3172	3.17
SRR1795143_2_screen	7580	7.57	100084	96088	96.0	0	0.0	116	0.12	3813	3.81
SRR1795144_1_screen	7013	7.02	99981	96107	96.13000000000001	2	0.0	67	0.07	3769	3.77
SRR1795144_2_screen	7331	7.33	99981	95133	95.15	2	0.0	68	0.07	4729	4.73
SRR1795145_1_screen	7112	7.12	99988	96723	96.73	4	0.0	63	0.06	3149	3.15
SRR1795145_2_screen	7268	7.2700000000000005	99988	95655	95.67	1	0.0	56	0.06	4209	4.21
SRR1795146_1_screen	6813	6.83	99948	96257	96.3	0	0.0	62	0.06	3588	3.59
SRR1795146_2_screen	7324	7.33	99948	95529	95.58	0	0.0	51	0.05	4297	4.3
SRR1795147_1_screen	7004	7.0	100058	96513	96.45	1	0.0	75	0.07	3411	3.41
SRR1795147_2_screen	7144	7.14	100058	95692	95.63000000000001	0	0.0	71	0.07	4212	4.21
SRR1795148_1_screen	7107	7.1	100104	96436	96.33999999999999	0	0.0	65	0.06	3523	3.52
SRR1795148_2_screen	5958	5.949999999999999	100104	92775	92.68	0	0.0	56	0.06	7167	7.16
SRR1795149_1_screen	6933	6.9399999999999995	100013	96023	96.01999999999998	1	0.0	16	0.02	3910	3.91
SRR1795149_2_screen	6771	6.77	100013	94348	94.33999999999999	0	0.0	16	0.02	5590	5.59
SRR1795150_1_screen	7017	7.01	100090	96167	96.07000000000001	0	0.0	15	0.01	3863	3.86
SRR1795150_2_screen	6752	6.75	100090	93663	93.57	0	0.0	14	0.01	6345	6.34
SRR1795151_1_screen	7140	7.15	99903	95933	96.03	0	0.0	47	0.05	3876	3.88
SRR1795151_2_screen	6911	6.92	99903	93979	94.06999999999998	0	0.0	46	0.05	5834	5.84
SRR1795152_1_screen	7017	7.03	99888	95997	96.11	0	0.0	18	0.02	3845	3.85
SRR1795152_2_screen	6840	6.8500000000000005	99888	94345	94.45	1	0.0	18	0.02	5483	5.49
SRR1795153_1_screen	7169	7.16	100083	96221	96.13999999999999	0	0.0	30	0.03	3793	3.79
SRR1795153_2_screen	6784	6.789999999999999	100083	93671	93.59	0	0.0	26	0.03	6335	6.33
SRR1795154_1_screen	7084	7.1	99900	96315	96.41000000000001	0	0.0	17	0.02	3526	3.53
SRR1795154_2_screen	6862	6.87	99900	94415	94.51	0	0.0	16	0.02	5414	5.42
SRR1795155_1_screen	7049	7.050000000000001	100006	95966	95.97	0	0.0	18	0.02	3980	3.98
SRR1795155_2_screen	6895	6.890000000000001	100006	93883	93.87	0	0.0	11	0.01	6060	6.06
SRR1795156_1_screen	7181	7.19	99920	96017	96.09	0	0.0	26	0.03	3826	3.83
SRR1795156_2_screen	7001	7.01	99920	93075	93.16	0	0.0	27	0.03	6764	6.77
SRR1795157_1_screen	9588	9.600000000000001	99925	96528	96.60000000000001	0	0.0	108	0.11	3047	3.05
SRR1795157_2_screen	9582	9.59	99925	94940	95.02000000000001	0	0.0	101	0.1	4636	4.64
SRR1795158_1_screen	7663	7.67	99979	96750	96.77000000000001	0	0.0	134	0.13	3019	3.02
SRR1795158_2_screen	7730	7.73	99979	94997	95.02000000000001	0	0.0	129	0.13	4768	4.77
SRR1795159_1_screen	8648	8.66	99951	96235	96.29	2	0.0	131	0.13	3428	3.43
SRR1795159_2_screen	8816	8.83	99951	94752	94.81	2	0.0	126	0.13	4897	4.9
SRR1795160_1_screen	7886	7.87	100113	96839	96.74	0	0.0	145	0.14	3043	3.04
SRR1795160_2_screen	8004	7.99	100113	95362	95.26	0	0.0	132	0.13	4535	4.53
SRR1795161_1_screen	7707	7.709999999999999	99937	96575	96.63000000000001	0	0.0	123	0.12	3158	3.16
SRR1795161_2_screen	7719	7.73	99937	94757	94.80999999999999	0	0.0	109	0.11	4996	5.0
SRR1795162_1_screen	8783	8.77	100040	96553	96.52000000000001	0	0.0	96	0.1	3221	3.22
SRR1795162_2_screen	8491	8.489999999999998	100040	92332	92.29	0	0.0	86	0.09	7442	7.44
SRR1795163_1_screen	7651	7.65	100098	96898	96.8	0	0.0	107	0.11	3012	3.01
SRR1795163_2_screen	7803	7.789999999999999	100098	95546	95.45	0	0.0	102	0.1	4354	4.35
SRR1795164_1_screen	8341	8.34	99951	96708	96.75999999999999	0	0.0	134	0.13	2998	3.0
SRR1795164_2_screen	8450	8.45	99951	95150	95.2	0	0.0	127	0.13	4537	4.54
SRR1795165_1_screen	7153	7.1499999999999995	99876	96356	96.48	1	0.0	108	0.11	3345	3.35
SRR1795165_2_screen	7291	7.3	99876	95469	95.59	1	0.0	105	0.11	4214	4.22
SRR1795166_1_screen	6885	6.88	100095	96371	96.27999999999999	0	0.0	51	0.05	3633	3.63
SRR1795166_2_screen	5735	5.73	100095	92734	92.65	0	0.0	43	0.04	7236	7.23
SRR1795167_1_screen	6929	6.91	100107	96718	96.61	0	0.0	49	0.05	3293	3.29
SRR1795167_2_screen	7313	7.3100000000000005	100107	95864	95.76	0	0.0	43	0.04	4144	4.14
SRR1795168_1_screen	7104	7.109999999999999	99918	96632	96.71000000000001	2	0.0	77	0.08	3167	3.17
SRR1795168_2_screen	7451	7.45	99918	95751	95.83	2	0.0	71	0.07	4026	4.03
SRR1795169_1_screen	7112	7.1	100105	96611	96.51	0	0.0	96	0.1	3353	3.35
SRR1795169_2_screen	7439	7.43	100105	96034	95.94000000000001	0	0.0	93	0.09	3924	3.92
SRR1795170_1_screen	7016	7.02	99957	96533	96.58	0	0.0	44	0.04	3338	3.34
SRR1795170_2_screen	7300	7.300000000000001	99957	95245	95.28	0	0.0	41	0.04	4618	4.62
SRR1795171_1_screen	7090	7.09	100015	96356	96.35	0	0.0	49	0.05	3570	3.57
SRR1795171_2_screen	7413	7.419999999999999	100015	95319	95.32000000000001	0	0.0	46	0.05	4590	4.59
SRR1795172_1_screen	6901	6.9	99977	96802	96.83	0	0.0	119	0.12	3019	3.02
SRR1795172_2_screen	7086	7.09	99977	95985	96.00999999999999	0	0.0	114	0.11	3819	3.82
SRR1795173_1_screen	7181	7.180000000000001	100003	97138	97.13000000000001	0	0.0	18	0.02	2810	2.81
SRR1795173_2_screen	7194	7.199999999999999	100003	95846	95.83	0	0.0	17	0.02	4100	4.1
SRR1795174_1_screen	7244	7.25	99927	96992	97.06	0	0.0	25	0.03	2867	2.87
SRR1795174_2_screen	7280	7.28	99927	96210	96.27	0	0.0	22	0.02	3647	3.65
SRR1795175_1_screen	7315	7.31	100065	97317	97.25	1	0.0	12	0.01	2701	2.7
SRR1795175_2_screen	7394	7.390000000000001	100065	96042	95.99	1	0.0	11	0.01	3972	3.97
SRR1795176_1_screen	7336	7.34	99983	96898	96.91000000000001	0	0.0	24	0.02	3019	3.02
SRR1795176_2_screen	7224	7.22	99983	95877	95.88999999999999	0	0.0	21	0.02	4029	4.03
SRR1795177_1_screen	7206	7.21	99929	97273	97.34	0	0.0	14	0.01	2608	2.61
SRR1795177_2_screen	7112	7.119999999999999	99929	96014	96.08	0	0.0	12	0.01	3857	3.86
SRR1795178_1_screen	7120	7.119999999999999	99970	97080	97.11000000000001	0	0.0	23	0.02	2819	2.82
SRR1795178_2_screen	7133	7.14	99970	95697	95.73	0	0.0	19	0.02	4208	4.21
SRR1795179_1_screen	7200	7.21	99909	97066	97.15	0	0.0	21	0.02	2767	2.77
SRR1795179_2_screen	7272	7.279999999999999	99909	95762	95.84	0	0.0	21	0.02	4066	4.07
SRR1795180_1_screen	7289	7.28	100039	97080	97.04	0	0.0	30	0.03	2871	2.87
SRR1795180_2_screen	7391	7.38	100039	95331	95.3	0	0.0	27	0.03	4631	4.63
SRR1795181_1_screen	7221	7.21	100087	97534	97.45000000000002	0	0.0	20	0.02	2502	2.5
SRR1795181_2_screen	7158	7.15	100087	96456	96.36	0	0.0	20	0.02	3563	3.56
SRR1795182_1_screen	7150	7.15	99983	97342	97.36000000000001	0	0.0	16	0.02	2599	2.6
SRR1795182_2_screen	7046	7.049999999999999	99983	96280	96.3	0	0.0	15	0.02	3659	3.66
SRR1795183_1_screen	7387	7.38	100080	97409	97.33	0	0.0	24	0.02	2602	2.6
SRR1795183_2_screen	7472	7.46	100080	97128	97.06	1	0.0	24	0.02	2882	2.88
SRR1795184_1_screen	7124	7.129999999999999	100077	97051	96.97	0	0.0	22	0.02	2952	2.95
SRR1795184_2_screen	7216	7.21	100077	96123	96.05000000000001	0	0.0	22	0.02	3903	3.9
SRR1795185_1_screen	7013	7.0200000000000005	99972	96453	96.47	1	0.0	24	0.02	3469	3.47
SRR1795185_2_screen	6790	6.789999999999999	99972	94414	94.45	1	0.0	23	0.02	5488	5.49
SRR1795186_1_screen	6904	6.890000000000001	100085	96324	96.24000000000001	0	0.0	40	0.04	3683	3.68
SRR1795186_2_screen	6742	6.7299999999999995	100085	93724	93.63999999999999	0	0.0	41	0.04	6275	6.27
SRR1795187_1_screen	7042	7.04	99980	96014	96.04	2	0.0	18	0.02	3899	3.9
SRR1795187_2_screen	6575	6.57	99980	93040	93.05999999999999	1	0.0	16	0.02	6848	6.85
SRR1795188_1_screen	7097	7.1000000000000005	99985	96540	96.56	0	0.0	21	0.02	3379	3.38
